ID,FacilityName,FacilityNameTemp,WorkRequest#,Facility#,Facility#Temp,FacilitySystem,FacilityGroup,FacilityFunction,FacilityID,Comments,Property,Building,Floor,Wing,Location,Model,SerialNo,InstallDate,Manufacturer,Capacity,IsNew,InputDate,UpdateDate,InputBy,UpdateBy,BSL,AAALAC,TJC,InventoryDate,InventoryBy,Status,TypeorUse,Size,CapacityHeadTest,FuelRefrigeration,MotorManufacturer,HP,MotorType,MotorSerialNo,MotorInstallDate,MotorModel,Frame,RPM,Voltage,Amperes,PhaseCycle,BSLClassification,TJCValue,PMSchedule,VOLTS,AMP,KVA,PH,W,NOofCKTS,CKTSUsed,VOLTSPRIMARY,VOLTSSECONDARY,ElectricalOther
1,13 - FAN-01 - 11860,,KTV56789,11860,T00001,Fan,Mechanical Equipment,Exhaust Air to Lobby,FAN-01,,Bethesda,13,LOBBY,,1416,D441,123456789,,GE,,0,01-Jul-11,26-Oct-15,"Qi, Zhong","Qi, Zhong",0,0,0,,,Active,,,,,,20,,,,,,,,,,,0,,,,,,,,,,,
4810,13 - BATTERY CHARGER - 1822,,,1822,1822,Battery Charger,Electrical Equipment,Battery Pack Fixture.   Function: CHARGES BATTERIE,BATC,,Bethesda,13,2ND FL,,"Building 13, Floor 1",,,,,,-1,08-Nov-11,18-Sep-15,"Qi, Zhong","Qi, Zhong",0,0,0,,,Active,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
4820,13 - Backflow Preventer - 00874BFP00001,,,00874BFP00001,00874BFP00001,Backflow Preventer,Mechanical Equipment,WSSC BFP,BFP00001,,Bethesda,13,,,13/Gr Fl Rm G800,6C,9401505,,Beeco,,-1,08-Nov-11,,"Qi, Zhong",,0,0,0,10-Jun-08,,Active,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
4821,13 - Backflow Preventer - 00874BFP00002,,,00874BFP00002,00874BFP00002,Backflow Preventer,Mechanical Equipment,WSSC BFP,BFP00002,,Bethesda,13,,,G924,FRPII,76397,,Hersey,,-1,08-Nov-11,,"Qi, Zhong",,0,0,0,10-Jun-08,,Active,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
4822,13 - Backflow Preventer - 00874BFP00003,,,00874BFP00003,00874BFP00003,Backflow Preventer,Mechanical Equipment,WSSC BFP,BFP00003,,Bethesda,13,,,G924,6C,9401505,,Beeco,,-1,08-Nov-11,,"Qi, Zhong",,0,0,0,10-Jun-08,,Active,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
7817,13 - PANEL DIST - 8496DP7,,,8496DP7,8496DP7,Distribution Panel,Electrical Equipment,Distribution Panel,DP7,,Bethesda,13,,,"Floor 1st, Room: B1W-72",,,,,,-1,08-Nov-11,,"Qi, Zhong",,0,0,0,28-Oct-10,,Active,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
7818,13 - PANEL DIST - 8496DP10,,,8496DP10,8496DP10,Distribution Panel,Electrical Equipment,Distribution Panel,DP10,,Bethesda,13,,,"Floor 3rd, Room: 3W-71",,,,,,-1,08-Nov-11,,"Qi, Zhong",,0,0,0,28-Oct-10,,Active,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
7819,13 - PANEL EM RECEP - 1272ERP1,,,1272ERP1,1272ERP1,Emergency Receptacle Panel,Electrical Equipment,Emergency Receptacle Panel,ERP1,,Bethesda,13,,,"Floor 2nd, Room: 231",,,,,,-1,08-Nov-11,,"Qi, Zhong",,0,0,0,28-Oct-10,,Active,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
7820,13 - PANEL EM RECEP - 1272ERP2,,,1272ERP2,1272ERP2,Emergency Receptacle Panel,Electrical Equipment,Emergency Receptacle Panel,ERP2,,Bethesda,13,,,"Floor 1st, Room: Maint. Shop",,,,,,0,08-Nov-11,18-Dec-14,"Qi, Zhong","Qi, Zhong",0,0,0,28-Oct-10,,Deactivated,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
7821,13 - PANEL EM RECEP - 8496ERP1,,,8496ERP1,8496ERP1,Emergency Receptacle Panel,Electrical Equipment,Emergency Receptacle Panel,ERP1,,Bethesda,13,,,"Floor P, Room: S. Mech. Room",,,,,,-1,08-Nov-11,,"Qi, Zhong",,0,0,0,28-Oct-10,,Active,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
